Row Labels,Count of NUMBER,,Row Labels,Count of NUMBER,,Year,Max Windspeed
1980,724,,main,37995,,1980,165
1981,797,,spur-merge,13,,,115
1982,700,,spur-other,12,,1982,125
1983,807,,Grand Total,38020,,,125
1984,1054,,,,,1984,125
1985,1030,,,,,,125
1986,622,,,,,1986,125
1987,756,,,,,,135
1988,897,,,,,1988,160
1989,1002,,,,,,140
1990,1235,,,,,1990,135
1991,703,,,,,,125
1992,1134,,,,,1992,150
1993,673,,,,,,130
1994,591,,,,,1994,140
1995,1066,,,,,,130
1996,816,,,,,1996,125
1997,717,,,,,,160
1998,984,,,,,1998,155
1999,662,,,,,,135
2000,875,,,,,2000,135
2001,871,,,,,,125
2002,765,,,,,2002,145
2003,995,,,,,,145
2004,988,,,,,2004,145
2005,1422,,,,,,160
2006,894,,,,,2006,130
2007,772,,,,,,150
2008,1053,,,,,2008,135
2009,741,,,,,,155
2010,935,,,,,2010,140
2011,994,,,,,,135
2012,1147,,,,,2012,120
2013,793,,,,,,110
2014,993,,,,,2014,140
2015,1023,,,,,,185
2016,1200,,,,,2016,145
2017,1116,,,,,,155
2018,1247,,,,,2018,140
2019,914,,,,,,160
2020,1312,,,,,2020,135
Grand Total,38020,,,,,,
